TABLE_NAME;DESCRIPTION;CODE;DEFINITION;OTHER
Society Code;BUTODRA;130;Togo;
Society Code;SADA;131;Greece;
Society Code;BILD-KUNST;132;German Federal Republic;
Society Code;ZAMCOPS;133;Zambia;
Society Code;SLPRS;134;Sri Lanka;
Society Code;SADH;135;Greece;
Society Code;ZAMP ;136;Macedonia;
Society Code;SOFAM;137;Belgium;
Society Code;KOPIOSTO;138;Finland;
Society Code;COPY-DAN BILLEDKUNST;139;Denmark;
Society Code;UACRR;140;Ukraine;
Society Code;ATN;141;Chile (formerly known as GESATCH);
Society Code;DALRO;142;South Africa;
Society Code;TEATERAUTOR;143;Bulgaria;
Society Code;HAA;144;Croatia;
Society Code;DPRS;145;United Kingdom;
Society Code;SPAC;146;Panama;
Society Code;FILMAUTOR;147;Bulgaria;
Society Code;ADAGP;148;France;
Society Code;ARS;149;USA;
Society Code;BEELDRECHT;150;Netherlands;
Society Code;BONO;151;Norway;
Society Code;BUS;152;Sweden;
Society Code;DACS;153;United Kingdom;
Society Code;HUNGART;154;Hungary;
Society Code;SOMAAP;155;Mexico;
Society Code;VAGA;156;USA;
Society Code;VBK;157;Austria;
Society Code;VEGAP;158;Spain;
Society Code;VISCOPY;159;Australia;
Society Code;RUPIS;160;Belarus;
Society Code;MUST;161;Taiwan (Province Of China);
Society Code;AMPAL;162;Australia;
Society Code;APG-JAPAN;163;Japan;
Society Code;APSAV;164;Peru;
Society Code;ATN;165;Chile;
Society Code;AUTORARTE;166;Venezuela;
Society Code;BURAFO;167;Netherlands;
Society Code;CAL;168;Australia;
Society Code;COSCAP;169;Barbados;
Society Code;CPSN;170;Nepal;
Society Code;CREAIMAGEN;171;Chile;
Society Code;DGA;172;United States;
Society Code;DIRECTORES;173;Mexico;
Society Code;FLIM JUS;174;Hungary;
Society Code;COPYRO;175;Romania;
Society Code;JACAP;176;Jamaica;
Society Code;KAZAK;177;Kazakhstan;
Society Code;KOSA;178;Korea Republic Of;
Society Code;KUVASTO;179;Finland;
Society Code;MUSIKEDITION;180;Austria;
Society Code;NMPA;181;United States;
Society Code;PAPPRI;182;Indonesia;
Society Code;SACK;183;Korea Republic Of;
Society Code;SARTEC;184;Canada;
Society Code;SESAM;185;France;
Society Code;SGDL;186;France;
Society Code;SNAC;187;France;
Society Code;SOCIETE DE L’IMAGE;188;France;
Society Code;SOCINPRO;189;Brazil;
Society Code;SOPE;190;Greece;
Society Code;SPACQ;191;Canada;
Society Code;SFF;192;Sweden;
Society Code;THE SOCIETY OF AUTHORS;193;United Kingdom;
Society Code;UFFICIO LEGALE;194;Holy See (Vatican City State);
Society Code;VEVAM;195;Netherlands;
Society Code;WGA;196;United States;
Society Code;WGJ;197;Japan;
Society Code;ZAMP ;198;Slovenia;
Society Code;ZAPA;199;Poland;
Society Code;MSG;200;Turkey;
Society Code;ABRAMUS;201;Brazil;
Society Code;ASDAC;202;Moldova - Republic Of;
Society Code;AWGACS;203;Australia;
Society Code;SAS;204;Georgia;
Society Code;SODART;205;Canada;
Society Code;SUOMEN KIRJAILIJALIITTO;206;Finland;
Society Code;THE AUTHOR'S REGISTRY INC.;207;United States;
Society Code;SGA;208;Guinea-Bissau;
Society Code;ARMAUTHOR;209;Armenia;
Society Code;ACCESS;210;Canada (Formerly CANCOPY);
Society Code;;211;No Longer In Use;
Society Code;CSCS;212;Canada;
Society Code;DRCC;213;Canada;
Society Code;HMS;214;Saint Lucia;
Society Code;KYRGYZPATENT;215;Kyrgyzstan;
Society Code;SQN;216;Bosnia And Herzegovina;
Society Code;ABRAC;217;Brazil;
Society Code;ANACIM;218;Brazil;
Society Code;ASSIM;219;Brazil;
Society Code;ATIDA;220;Brazil;
Society Code;SABEM;221;Brazil;
Society Code;FONOPERU;222;Peru;
Society Code;COSOTA;223;Tanzania, United Republic Of;
Society Code;SOMAS;224;Mozambique;
Society Code;SAIF;225;France;
Society Code;AACIMH;226;Honduras;
Society Code;SGACEDOM;227;Dominican Republic;
Society Code;ROMS;228;Russian Federation;
Society Code;ICG;229;United States;
Society Code;ADAVIS;230;Cuba;
Society Code;AUTVIS;231;Brazil;
Society Code;GESTOR;232;Czech Republic;
Society Code;SACEMLUXEMBOURG;233;Luxembourg;
Society Code;UCOSO;234;Uganda;
Society Code;SACENC;235;France;
Society Code;WID CENTRE;300;United States;
Society Code;GESAC;301;Belgium;
Society Code;LATINAUTOR;302;Uruguay;
Society Code;NORD-DOC;303;Sweden;
Society Code;SONGCODE;304;United States;
Society Code;IMJV;305;Netherlands;
Society Code;CCL;306;Trinidad And Tobago;
Society Code;MISASIA;307;Singapore;
Society Code;ECAD;308;Brazil;
Society Code;LATINNET;309;Spain;
Society Code;DIVA;310;Hong Kong;
;;;;
;Special Agreement Indicator ;;NB:  This field has replaced the ‘Reversionary Indicator’ field, and all the codes from that field have been retained for historical reasons.;
Special Agreement Indicator ;Reversionary Rights;R;;
Special Agreement Indicator ;Leading Publisher;L;;
Special Agreement Indicator ;Both Reversionary Rights and Leading Publisher;B;;
Special Agreement Indicator ;Reversionary Rights;Y;Formerly ‘Yes’ on ‘Reversionary rights field’;
Special Agreement Indicator ;No Reversionary Rights;N;Formerly ‘No’ on ‘Reversionary rights field’;
Special Agreement Indicator ;Unknown Reversionary Rights;U;Formerly ‘Unknown’ on ‘Reversionary rights field’;
;Standard Instrumentation;;;alt aus Word-Dokument
Standard Instrumentation;Audience;AUD;;Audience
Standard Instrumentation;Band;BND;Large group of woodwinds and brass with optional percussion, keyboard, and double bass;Band
Standard Instrumentation;Brass Band;BBA;Large group of brasses (approximately 25 players) with optional percussion;Brass Band
Standard Instrumentation;Brass Choir;BRC;Group of brasses with optional percussion (usually 10-20 players);Brass Choir
Standard Instrumentation;Brass Quartet;BQU;2 trumpets, horn, trombone or tuba;Brass Quartet
Standard Instrumentation;Brass Quintet;BQN;2 trumpets, horn, trombone, tuba;Brass Quintet
Standard Instrumentation;Brass Sextet;BXT;2 trumpets, 2 horns, trombone, tuba;Brass Sextet
Standard Instrumentation;Brass Trio;BTR;Trumpet, horn, trombone;Brass Trio
Standard Instrumentation;Chamber Ensemble  ;CEN;"Mixed group of single players on a part; does not denote size of group";Chamber Ensemble  
Standard Instrumentation;Chorus;CHO;Multiple voices on a part;Chorus
Standard Instrumentation;Chorus and Orchestra;CAO;Multiple voices with orchestra;Chorus and Orchestra
Standard Instrumentation;Chorus, Boys’;BCH;Multiple boys’ voices on a part;Chorus, Boys'
Standard Instrumentation;Chorus, Children’s;CCH;Multiple treble voices on a part;Chorus, Children's
Standard Instrumentation;Chorus, Double;DCH;Two choruses;Chorus, Double
Standard Instrumentation;Chorus, Men’s;MCH;Multiple men’s voices on a part;Chorus, Men's
Standard Instrumentation;Chorus, Mixed;MXC;Multiple voices on a part (usually SATB);Chorus, Mixed
Standard Instrumentation;Chorus, Treble;TCH;Multiple children’s voices on a part;Chorus, Treble
Standard Instrumentation;Chorus, Unison;UCH;Multiple voices on a single part;Chorus, Unison
Standard Instrumentation;Chorus, Women's;WCH;Multiple women’s voices on a part;Chorus, Women's
Standard Instrumentation;Chorus, Youth;YCH;Multiple young voices on a part;Chorus, Youth
Standard Instrumentation;Clarinet Choir;CLC;Multiple clarinets (usually 10-20);Clarinet Choir
Standard Instrumentation;Clarinet Quintet;CQN;Clarinet and string quartet;Clarinet Quintet
Standard Instrumentation;Concert Band;CBA;Large group of woodwinds and brass with optional percussion, keyboard, and double bass;Concert Band
Standard Instrumentation;Flute Choir;FLC;Multiple flutes (usually 10-20);Flute Choir
Standard Instrumentation;Gamelan;GML;Indonesian percussion ensemble, usually including gongs, chimes, mallet percussion, and drums;Gamelan
Standard Instrumentation;Guitar Quartet;GQT;4 guitars;Guitar Quartet
Standard Instrumentation;Horn Choir;HNC;Multiple horns (10-20 players);Horn Choir
Standard Instrumentation;Jazz Ensemble;JZE;Multiple saxophones, trumpets, trombones with rhythm section of piano, double bass, drum set, guitar;Jazz Ensemble
Standard Instrumentation;Oboe Quartet;OQU;Oboe and string trio;Oboe Quartet
Standard Instrumentation;Orchestra, Chamber;COR;Orchestra with fewer winds and strings than full orchestra (usually 20-25 players);Orchestra, Chamber
Standard Instrumentation;Orchestra, Full;ORC;Large group of multiple strings with woodwinds, brass and percussion;Orchestra, Full
Standard Instrumentation;Orchestra, String;SOR;Multiple strings on a part (usually 16 or more);Orchestra, String
Standard Instrumentation;Percussion Ensemble;PCE;Multiple players on various instruments;Percussion Ensemble
Standard Instrumentation;Piano Duo; PDU;2 pianists on two pianos;Piano Duo
Standard Instrumentation;Piano Four Hands;PFH;2 pianists on one piano;Piano Four Hands
Standard Instrumentation;Piano Quartet;PQU;Piano and string trio;Piano Quartet
Standard Instrumentation;Piano Quintet;PQN;Piano and string quartet;Piano Quintet
Standard Instrumentation;Piano Trio;PTR;Violin, cello, piano;Piano Trio
Standard Instrumentation;Saxophone Quartet;SQT;4 saxophones;Saxophone Quartet
Standard Instrumentation;String Octet;SOC;Double string quartet;String Octet
Standard Instrumentation;String Quartet;SQU;2 violins, viola, cello;String Quartet
Standard Instrumentation;String Quintet;SQN;2 violins, viola, cello and one other stringed instrument;String Quintet
Standard Instrumentation;String Trio;SGT;Violin, viola, cello;String Trio
Standard Instrumentation;Symphonic Band;SBA;Large group of woodwinds and brass with optional percussion, keyboard, and double bass;Symphonic Band
Standard Instrumentation;Trombone  Choir;TBC;Multiple trombones (usually 10-20);Trombone  Choir
Standard Instrumentation;Trumpet Choir;TPC;Multiple trumpets (usually 10-20);Trumpet Choir
Standard Instrumentation;Tuba Choir;TUC;Multiple tubas (usually 10-20);Tuba Choir
Standard Instrumentation;Wind Ensemble;WEN;Large group of woodwinds and brass with optional percussion, keyboard, and double bass;Wind Ensemble
Standard Instrumentation;Woodwind Quartet;WQR;Flute, oboe, clarinet, bassoon;Woodwind Quartet
Standard Instrumentation;Woodwind Quintet;WQN;Flute, oboe, clarinet, bassoon, horn;Woodwind Quintet
;;;;
;Subject Codes ;;;
Subject Codes ;Direct Licensing;DL;Instructions for Direct Licensing;
Subject Codes ;Share Change;SC;Writer added/deleted, share increase or decreased;
Subject Codes ;Different Work;DW;This is not the same work as XXX;
Subject Codes ;Inquiry List;IQ;Work contained in Inquiry List of society ;
Subject Codes ;Requested Work;RQ;Work for which a notification was requested by society;
Subject Codes ;GEMA;GW;Structured note for shares agreed by authors for performing rights;
Subject Codes ;SACEM;EW;The Sacem submitter is controlling the entire work;
;;;;
;Text Music Relationship;;;
Text Music Relationship;Music;MUS;Music only (as in an instrumental work or a wordless chorus without text e.g. Daphnis and Cloe).;
Text Music Relationship;Music and Text;MTX;Music and text combined (as in a vocal and instrumental work such as the musical JESUS CHRIST SUPERSTAR), where both contributions were specifically created for the respective musical composition with words.;
Text Music Relationship;Text;TXT;Text only.;
Text Music Relationship;;MTN;Music and text combined (as in a vocal and instrumental work such as an opera), where both contributions were not specifically created for the respective musical composition with words (as in the musical CATS).;
;;;;
;TIS Numeric Code;;The latest TIS Territory codes can be found on the CISAC web site;
;;;;
;Title Type;;;
Title Type;Alternative Title;AT;An alternative to an original title.;
Title Type;First Line of Text;TE;The beginning of a text.;
Title Type;Formal Title;FT;A standardised title in which the elements are arranged in a pre-determined order. Normally created for classical works.;
Title Type;Incorrect Title;IT;A spurious or unacceptable title sometimes mistakenly used for identification.;
Title Type;Original Title;OT;A title given to the work by its creator(s) shown in its original language.;
Title Type;Original Title Translated;TT;An original title translated into a different language.;
Title Type;Part Title;PT;A section of a work which is not recognized as an excerpt in its own right and does not have its own ISWC.;
Title Type;Restricted Title;RT;A title from which all initial articles and punctuation have been removed.;
Title Type;Extra Search Title;ET;An alternate title created to aid database searching (e.g. where special characters, puns, or slang have been replaced by standardized elements).;
Title Type;Original Title with National Characters;OL;The Original title of the Work in it’s original language, using ‘accented’ National characters;
Title Type;Alternative Title with National Characters;AL;An alternatice work title in it’s original language, using ‘accented ‘ National characters.;
;;;;
;Transaction Type;;;
Transaction Type;Acknowledgment;ACK;A transaction sent in response to a transaction received that includes information on the use of the transaction received.;
Transaction Type;Agreement;AGR;A transaction sent from publishers to societies to provide details of agreements relating to works that the publishers are registering using the NWR or REV transactions.;
Transaction Type;New Work Registration;NWR;A transaction sent from publishers to societies for the purpose of registering a musical work.;
Transaction Type;Revised Registration;REV;A transaction sent from publishers to societies for the purpose of revising an existing registration of a musical work.;
Transaction Type;Notification of ISWC;ISW;A transaction sent from the societies to the publishers to notify of an ISWC allocated to a musical work.;
Transaction Type;Existing work which is in conflict with a work registration;EXC;A transaction sent from the societies to the publishers to provide details of an existing work that is in conflict with a work registration.;
Transaction Type;Notification to Co-Publisher;COP;"A notice delivered to any publisher marked as an ""Other Publisher"" on an NWR transaction that has not previously registered the work referred to within the NWR.
NB:  The COP code is no longer valid within CWR, but this definition has been kept for historical reference.";
;;;;
;Transaction Status;;;
Transaction Status;Conflict;CO;The status assigned to a transaction that has been received, has passed all validity checks, but does not agree with information previously submitted from another supplier.;
Transaction Status;Duplicate;DU;The status assigned to a transaction that has been received, has passed all validity checks, and exactly matches another transaction previously received from the same submitter.;
Transaction Status;Transaction Accepted;RA;The transaction has passed all of the mandatory edits.  Any field and record rejects, and status re possible duplicate works will be noted in messages.;
Transaction Status;Registration Accepted;AS;The registration was accepted as submitted by the publisher and is now ready for payment;
Transaction Status;Registration Accepted with Changes;AC;The registration was accepted but modifications were made e.g. CAE numbers supplied, OIP info corrected;
Transaction Status;Rejected;RJ;The status assigned to a transaction that does not meet the editing requirements documented for that transaction type.  Publisher must resubmit.;
Transaction Status;No Participation;NP;The status assigned to indicate that the receiving society has no interest in the work, and therefore may not have edited the work fully e.g. if BMI received a work that contained only ASCAP interested parties (or vice versa);
Transaction Status;Claim rejected;RC;The publisher's claim to this work is rejected.;
;;;;
; Type of Right;;;
 Type of Right;Mechanical Right;MEC;The right to record, reproduce and distribute a work on a carrier (CDs, MCs, Films, CD-ROM, etc.);
 Type of Right;Performing Right;PER;The entitlement to perform musical, literary or dramatic works live or by mechanical means or to recite literary works;
 Type of Right;Synchronisation Right;SYN;The right to include and combine a work either completely or in parts in timed relation with works of other categories for the creation of an audiovisual, multimedia work or a database;
;;;;
;USA License Indicator;;;
USA License Indicator;ASCAP;A;When this work is performed in the USA, ASCAP has the right to collect.;
USA License Indicator;BMI;B;When this work is performed in the USA, BMI has the right to collect.;
USA License Indicator;SESAC;S;When this work is performed in the USA, SESAC has the right to collect.;
;;;;
;Version Type;;;
Version Type;Modified Version of a musical work;MOD;A work resulting from the modification of a musical work.;
Version Type;Original Work;ORI;The first established form of a work.;
;;;;
;Writer Designation;;;
Writer Designation;Adaptor;AD;The author or one of the authors of an adapted text of a musical work.;
Writer Designation;Arranger;AR;A modifier of musical elements of a musical work.;
Writer Designation;Author, Writer, Author of Lyrics;A;The creator or one of the creators of a text of a musical work.;
Writer Designation;Composer, Writer;C;The creator or one of the creators of the musical elements of a musical work.;
Writer Designation;Composer/Author;CA;The creator or one of the creators of text and musical elements within a musical work.;
Writer Designation;Sub Arranger;SR;A creator of arrangements authorized by the Sub-Publisher;
Writer Designation;Sub Author;SA;The author of text which substitutes or modifies an existing text of musical work.;
Writer Designation;Translator;TR;A modifier of a text in a different language;
Writer Designation;Income Participant;PA;A person that receives royalty payments for a work but is not a copyright owner.;
