Msg Type;Msg Lvl;Msg Seq;Soc Cde;Error Level;"Error Message Text
";Order;Comments;
SWT;F;014;000;TR;OWT record was not preceded by an OWR, NWN, or OWT record;;;
SWT;F;015;000;TR;OWT record followed an SWR record in a controlled chain;;;
SWT;F;016;000;TR;The Interested Party # entered was not equal to the Interested Party # on the previous OWR record;;;
SWT;F;017;000;FR;PR Affiliation Society Number does not match an entry in the Transmitter Code Table;;;
SWT;F;018;000;FR;MR Affiliation Society Number does not match an entry in the Transmitter Code Table;;;
SWT;F;019;000;FR;SR Affiliation Society Number does not match an entry in the Transmitter Code Table;;;
SWT;F;020;000;TR;Total territories in the SWT and OWT reocrds linked to SWR for a work was not equal to the total of those SWTs and OWTs linked to any other SWR or OWR linked to the same work;;;
SWT;F;021;000;TR;SWT and OWT records linked to a given work do not cover an overall territory greater than or equal to that shown in the SPT and OPT records for the given work;;;
TRL;F;001;000;ER;Group Count was not equal to the number of groups within the entire file;4;;
TRL;F;002;000;ER;Transaction count was not equal to the number of transactions within the entire file;4;;
TRL;F;003;000;ER;Record count was not equal to the number of physical records;4;;
WRI;F;001;000;TR;Submitter work number is not entered or not unique;;;
WRK;T;001;000;TR;More than one of WRK, DRW, ISR, ISA, or EXC entered for transaction;1;;
WRK;T;002;000;TR;One or more publishers controlled by the collection-only submitter were missing an SPT record;1;;
WRK;T;003;000;RR;Detail records other than those listed in the Transaction Format table may not be submitted for this transaction;1;;
WRK;T;004;000;TR;Version Type 'MOD' entered but no SWR or OWR records contained a Writer Designation Code of 'AR', 'SA', 'AD', 'SR', or 'TR';1;;
WRK;T;005;000;TR;Transaction did not contain at least one writer (SWR/OWR) and one MAN record;1;;
WRK;T;006;000;TR;There were no writers (Writer designation code = 'CA','A','C') entered for this work;1;;
WRK;T;007;000;TR;A non-controlled publisher (OPU) was found in a chain started with an SPU;1;;
WRK;T;008;000;TR;More than one original publisher (Publisher Type = 'E') was found in a publisher chain;1;;
WRK;T;009;000;TR;At least one writer controlled by collecting submitter was missing an SWT;1;;
WRK;T;010;000;GR;Transaction Type for immediately preceding GRH record was not correct for this record.  (Edit ignored if part of an ACK transaction.);1;;
WRK;T;011;000;TR;If Version Type is  'ORI', there can't be an  SWR or OWR with a Writer Designation Code of 'AR' (Arranger), 'AD' (Adapter), 'SR' (Sub-Arranger), “SA” (Sub-Author), or “TR” (Translator);1;;
WRK;T;012;035;TR;No Participation – There were no GEMA-affiliated publishers on this transaction (GEMA only). ;1;;
WRK;T;013;072;TR;All of the Writers were Public Domain (SGAE, SACEM, GEMA only);1;;
;;;035;;;;;
;;;058;;;;;
WRK;T;014;93;TR;Not all SPU records for final Sub-Publisher’s collecting shares in the territory of Brazil included the start date of the sub-publishing agreement in the Society-assigned Agreement Number field (ABRAMUS and UBC only);1;;
;;;201;;;;;
WRK;T;015;074;TR;Work submitted without writer designation code 'CA' ,'C' (SIAE only);1;;
WRK;T;016;000;TR;The Sequence of Records is incorrect;;;
WRK;T;017;000;TR;Text Music Indicator is MUS with a CA, A, SA, or TR SWR/OWR record;;;
WRK;T;018;319;TR;Writer Designation Code is AR but no C or CA writer could be found (ICE only);;;
WRK;T;019;319;TR;Writer Designation Code is SA but no A or CA writer could be found (ICE only);;;
WRK;T;020;072;TR;There is no agreements link registered (notified) between original publisher and the submitter of the work (SGAE only);;;
WRK;T;021;072;TR;The sub-publisher of the work is not the registered (notified) for the original publisher (SGAE only);;;
WRK;T;022;072;TR;The shares for the sub-publisher are different from the shares registered (notified)  in the agreement (SGAE only);;;
WRK;T;023;000;TR;Musical Work Distribution Category is equal to ‘SER’, but the transaction does not include a record of type INS or IND ;;;
WRK;T;024;000;TR;A specific territory, Recipient Code, right type with a non-zero publisher collection (SPT or OPT) has a total publisher collection (SPT/OPT) and writer collection (SWT/OWT) not equal 100 (Note that a tolerance of plus 00006 (.06%) is allowed.);1;;
WRK;T;025;000;TR;The Sum of Writer Manuscript Share for each right type (MR, PR, SR) does not equal 100 (Note that a tolerance of plus 00006 (.06%) is allowed.);1;;
WRK;F;026;000;TR;Musial Work Distribution Category entered was not found in the Musical Work Distribution Category table;;;
WRK;F;028;000;TR;Composite Type entered but Composite Component Count not entered;4;;
WRK;F;029;000;TR;Composite Component Count was entered but Composite Type missing;4;;
WRK;F;030;000;TR;Composite Component Count entered was not numeric or was not greater than 1;4;;
WRK;F;031;021;TR;Musical Work Distribution Category equal to 'JAZ' was entered and BMI is represented on the work, but Duration was missing (BMI only);4;;
WRK;F;032;000;TR;Music Arrangement entered was not found in the Music Arrangement table;4;;
WRK;F;033;000;TR;Lyric Adaptation entered was not found in the Lyric Adaptation table;4;;
WRK;F;034;000;TR;Work Title contains invalid characters from the character set noted in the HDR record.;4;;
WRK;F;035;035;FR;ISWC from GEMA number block, but not allocated by GEMA. ISWC is therefore invalid – replaced with spaces. (GEMA only);4;;
WRK;F;037;000;TR;Work title not entered;;;
WRK;F;038;000;FR;Language Code entered was not found in the Language Code Table;;;
WRK;F;039;000;TR;Submitter work number is not entered or not unique;;;
WRK;F;040;000;FR;ISWC entered is not valid;;;
WRK;F;041;000;FR;Copyright date is invalid;;;
WRK;F;042;000;TR;Musical Work Distribution Category is equal to ‘SER’, but the duration is invalid;;;
WRK;F;043;000;FR;Recorded Indicator has invalid value;;;
WRK;F;044;000;FR;Text Music Relationship does not match a valid entry from the Text Music Relationship Table;;;
WRK;F;045;000;FR;Composite type does not match a valid entry from the Composite Type Table;;;
WRK;F;046;000;TR;Version type does not match a valid entry from the Version Type Table;;;
WRK;F;047;000;FR;Excerpt type does not match a valid entry from the Excerpt Type Table;;;
WRK;F;048;000;TR;Version Type 'MOD' entered, but Music Arrangement is not entered or not a valid entry from the Music Arrangement Table;;;
WRK;F;049;000;TR;Version Type 'MOD' entered, but Lyric Adaptation is not entered or not a valid entry from the Lyric AdaptationTable;;;
WRK;F;050;000;FR;Grand Rights indicator is not 'Y' or 'N';;;
XRF;F;001;000;RR;Organisation Code was not entered or did not match an entry in the Transmitter Code Table or the values 'ISW' or 'ISR';;;
XRF;F;002;000;RR;Identifier Type was not entered or was not equal to W, R, or P;;;
XRF;F;003;000;RR;Validity Identifier was not entered or was not equal to Y, N, or U;;;
MAN;F;001;000;TR;Missing Writer IP Number;;;
MAN;F;002;000;TR;MAN record follows preceding SWR/OWR and writer IP number was missing;;;
MAN;F;003;000;TR;PR Manuscript Share was not in the range 0-100% +/- 0.06%;;;
MAN;F;004;000;TR;MR Manuscript Share was not in the range 0-100% +/- 0.06%;;;
MAN;F;005;000;TR;SR Manuscript Share was not in the range 0-100% +/- 0.06%;;;
